ort_id,säsong,totalt_snöfall_cm,max_snödjup_cm,datum_max_snödjup
les-3-vallees-val-thorens-courchevel,2022-2023,485.4,161,2023-04-02
les-3-vallees-val-thorens-courchevel,2023-2024,644.8,235,2024-04-01
les-3-vallees-val-thorens-courchevel,2024-2025,465.8,170,2025-01-29
paradiski-les-arcs-la-plagne,2022-2023,597.2,191,2023-04-15
paradiski-les-arcs-la-plagne,2023-2024,746.7,263,2024-04-01
paradiski-les-arcs-la-plagne,2024-2025,516.3,195,2025-04-17
tignes-val-d-isere,2022-2023,580.3,181,2023-03-14
tignes-val-d-isere,2023-2024,712.4,287,2024-04-01
tignes-val-d-isere,2024-2025,485.7,235,2025-04-17
portes-du-soleil-avoriaz-morzine,2022-2023,479.3,92,2023-01-18
portes-du-soleil-avoriaz-morzine,2023-2024,609.6,125,2024-01-19
portes-du-soleil-avoriaz-morzine,2024-2025,425.6,117,2025-01-29
le-grand-massif-flaine-samoens,2022-2023,366.2,154,2023-03-15
le-grand-massif-flaine-samoens,2023-2024,437.6,198,2024-01-23
le-grand-massif-flaine-samoens,2024-2025,325.7,172,2025-01-29
les-sybelles-le-corbier,2022-2023,464.3,144,2023-04-02
les-sybelles-le-corbier,2023-2024,585.8,181,2024-03-12
les-sybelles-le-corbier,2024-2025,467.3,160,2025-01-29
alpe-d-huez-grand-domaine,2022-2023,367.5,133,2023-04-02
alpe-d-huez-grand-domaine,2023-2024,490,199,2024-04-01
alpe-d-huez-grand-domaine,2024-2025,442.7,168,2025-03-16
les-deux-alpes,2022-2023,351.7,125,2023-04-02
les-deux-alpes,2023-2024,481.6,195,2024-04-01
les-deux-alpes,2024-2025,420.7,162,2025-03-15
serre-chevalier-briancon,2022-2023,348.2,137,2023-03-14
serre-chevalier-briancon,2023-2024,565.2,234,2024-04-01
serre-chevalier-briancon,2024-2025,408.5,146,2025-04-17
evasion-mont-blanc-megeve,2022-2023,332.3,139,2023-04-15
evasion-mont-blanc-megeve,2023-2024,387.4,182,2024-01-23
evasion-mont-blanc-megeve,2024-2025,297.1,159,2025-01-29
chamonix-mont-blanc,2022-2023,366.2,195,2023-04-15
chamonix-mont-blanc,2023-2024,437.6,229,2024-04-02
chamonix-mont-blanc,2024-2025,325.7,190,2025-01-29
via-lattea-montgenevre,2022-2023,278.9,123,2023-03-14
via-lattea-montgenevre,2023-2024,462.9,220,2024-04-01
via-lattea-montgenevre,2024-2025,312.3,138,2025-04-17
espace-san-bernardo-la-rosiere,2022-2023,597.2,191,2023-04-15
espace-san-bernardo-la-rosiere,2023-2024,746.7,263,2024-04-01
espace-san-bernardo-la-rosiere,2024-2025,516.3,195,2025-04-17
espace-diamant-les-saisies,2022-2023,413.6,94,2023-01-19
espace-diamant-les-saisies,2023-2024,514.2,135,2024-01-23
espace-diamant-les-saisies,2024-2025,395.8,128,2025-01-09
val-cenis,2022-2023,350.5,138,2023-03-14
val-cenis,2023-2024,588.2,239,2024-03-10
val-cenis,2024-2025,392.1,172,2025-04-17
